step,avg_reward,accuracy,precision,recall,f1_macro,labels
0,0.532,0.4,0.3611111111111111,0.26666666666666666,0.2951251646903821,"None,Past,Present"
1,0.648,0.56,0.5696969696969697,0.43333333333333335,0.4817204301075269,"None,Past,Present"
2,0.628,0.52,0.39393939393939387,0.3666666666666667,0.3400537634408602,"None,Past,Present"
3,0.68,0.6,0.6121794871794872,0.675,0.5659722222222222,"None,Present"
4,0.736,0.64,0.6051282051282051,0.5666666666666667,0.560455486542443,"None,Past,Present"
5,0.536,0.44,0.4951923076923077,0.35,0.3566252587991718,",None,Past,Present"
6,0.424,0.28,0.47023809523809523,0.47500000000000003,0.27884615384615385,"None,Present"
7,0.84,0.8,0.4,0.5,0.4444444444444444,"None,Present"
8,0.68,0.6,0.3,0.5,0.375,"None,Present"
9,0.68,0.6,0.19999999999999998,0.3333333333333333,0.25,"None,Past,Present"
