step,avg_reward,accuracy,precision,recall,f1_macro,labels,raw_experiences,deduplicated_experiences,memory_size,memory_added
0,0.7,0.625,0.6333333333333333,0.625,0.6190476190476191,"None,Present",7,2,2,2
1,0.6,0.5,0.26666666666666666,0.2222222222222222,0.24242424242424243,"None,Past,Present",8,2,2,0
2,0.4,0.25,0.2333333333333333,0.2222222222222222,0.17857142857142858,"None,Past,Present",6,2,2,0
3,0.7,0.625,0.6333333333333333,0.625,0.6190476190476191,"None,Present",5,2,2,0
4,0.3,0.125,0.3333333333333333,0.041666666666666664,0.07407407407407407,"None,Past,Present",5,2,2,0
5,0.6,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222,"None,Past,Present",4,2,2,0
6,0.3,0.125,0.1111111111111111,0.05555555555555555,0.07407407407407407,"None,Past,Present",5,2,2,0
7,0.6125,0.5,0.25,0.125,0.16666666666666666,",None,Past,Present",6,3,3,1
8,0.8,0.75,0.3333333333333333,0.25,0.2857142857142857,"None,Past,Present",6,2,3,0
9,0.8,0.75,0.8333333333333333,0.75,0.7333333333333334,"None,Present",6,2,3,0
10,0.675,0.625,0.47222222222222215,0.4166666666666667,0.44047619047619047,",None,Present",7,2,3,0
11,0.7,0.625,0.35714285714285715,0.4166666666666667,0.38461538461538464,"None,Present",7,2,3,0
12,0.6,0.5,0.3333333333333333,0.4166666666666667,0.3611111111111111,"None,Past,Present",6,2,3,0
13,0.5,0.375,0.6428571428571428,0.5833333333333334,0.36507936507936506,"None,Present",5,2,3,0
14,0.8375,0.75,0.6666666666666667,0.6666666666666667,0.6666666666666667,"None,Present",6,3,3,0
15,0.6,0.5,0.5,0.5,0.4666666666666667,"None,Present",6,2,3,0
16,0.5,0.375,0.5,0.1875,0.2727272727272727,"None,Present",7,2,3,0
17,0.5,0.375,0.39999999999999997,0.3333333333333333,0.31746031746031744,"None,Past,Present",7,2,3,0
18,0.475,0.375,0.4444444444444444,0.3888888888888889,0.2619047619047619,",None,Present",7,2,3,0
19,0.5,0.375,0.39999999999999997,0.3333333333333333,0.31746031746031744,"None,Past,Present",5,2,3,0
20,0.7,0.625,0.3333333333333333,0.20833333333333334,0.25641025641025644,"None,Past,Present",7,2,3,0
21,0.5375,0.375,0.43333333333333335,0.41666666666666663,0.36507936507936506,"None,Present",8,3,3,0
22,0.6,0.5,0.5,0.25,0.3333333333333333,"None,Present",6,2,3,0
23,0.6,0.5,0.5,0.5,0.4666666666666667,"None,Present",6,2,3,0
24,0.5,0.375,0.25,0.3333333333333333,0.27777777777777773,"None,Past,Present",7,2,3,0
25,0.6375,0.5,0.49999999999999994,0.5,0.4904761904761905,"None,Past,Present",6,3,3,0
26,0.8,0.75,0.48888888888888893,0.6666666666666666,0.562962962962963,"None,Past,Present",6,2,3,0
27,0.7,0.625,0.5,0.3125,0.38461538461538464,"None,Present",7,2,3,0
28,0.5,0.375,0.6666666666666666,0.27777777777777773,0.38888888888888884,"None,Past,Present",5,2,3,0
29,0.5,0.375,0.3,0.3333333333333333,0.3148148148148148,"None,Past,Present",7,2,3,0
30,0.4,0.25,0.25,0.25,0.25,"None,Present",6,2,3,0
31,0.3,0.125,0.3333333333333333,0.041666666666666664,0.07407407407407407,"None,Past,Present",5,2,3,0
32,0.5,0.375,0.4166666666666667,0.27777777777777773,0.27777777777777773,"None,Past,Present",5,2,3,0
33,0.65,0.625,0.6875,0.4375,0.5208333333333333,",None,Past,Present",5,2,3,0
34,0.4,0.25,0.3888888888888889,0.2222222222222222,0.17857142857142858,"None,Past,Present",6,2,3,0
35,0.7,0.625,0.6333333333333333,0.625,0.6190476190476191,"None,Present",5,2,3,0
36,0.8,0.75,0.5,0.6666666666666666,0.5555555555555555,"None,Past,Present",6,2,3,0
37,1.0,1.0,1.0,1.0,1.0,"None,Present",4,1,3,0
38,0.5,0.375,0.3333333333333333,0.16666666666666666,0.2222222222222222,"None,Past,Present",5,2,3,0
39,0.9,0.875,0.9,0.875,0.873015873015873,"None,Present",5,2,3,0
40,1.0,1.0,1.0,1.0,1.0,"None,Present",4,1,3,0
41,0.7,0.625,0.5555555555555555,0.4166666666666667,0.4761904761904761,"None,Past,Present",5,2,3,0
42,0.7,0.625,0.6666666666666666,0.5,0.5555555555555555,"None,Past,Present",7,2,3,0
43,0.5375,0.375,0.4444444444444444,0.3333333333333333,0.35555555555555557,"None,Past,Present",5,3,3,0
44,0.4,0.25,0.3333333333333333,0.08333333333333333,0.13333333333333333,"None,Past,Present",6,2,3,0
45,0.4375,0.25,0.2333333333333333,0.25,0.20634920634920637,"None,Past,Present",7,3,3,0
46,0.6,0.5,0.5333333333333333,0.4166666666666667,0.4444444444444444,"None,Past,Present",6,2,3,0
47,0.75,0.75,0.6666666666666666,0.5,0.5555555555555555,",None,Present",6,2,3,0
48,0.8,0.75,0.6666666666666667,0.6666666666666667,0.6666666666666667,"None,Present",6,2,3,0
49,0.4,0.25,0.19444444444444442,0.25,0.21666666666666667,"None,Past,Present",6,2,3,0
50,0.5375,0.375,0.25,0.16666666666666666,0.19999999999999998,"None,Past,Present",7,3,3,0
51,0.5,0.375,0.3666666666666667,0.375,0.36507936507936506,"None,Present",7,2,3,0
52,0.6,0.5,0.3666666666666667,0.3333333333333333,0.3333333333333333,"None,Past,Present",6,2,3,0
53,0.575,0.5,0.2,0.16666666666666666,0.18181818181818182,",None,Past,Present",8,2,3,0
54,0.375,0.25,0.16666666666666666,0.08333333333333333,0.1111111111111111,",None,Past,Present",6,2,3,0
55,0.6,0.5,0.2222222222222222,0.2222222222222222,0.2222222222222222,"None,Past,Present",6,2,3,0
56,0.7,0.625,0.6333333333333333,0.625,0.6190476190476191,"None,Present",7,2,3,0
57,0.45,0.125,0.05555555555555555,0.16666666666666666,0.08333333333333333,"None,Past,Present",8,3,3,0
58,0.675,0.625,0.5,0.5,0.4444444444444444,",None,Present",7,2,3,0
59,0.8,0.75,0.5,0.375,0.42857142857142855,"None,Present",6,2,3,0
60,0.5,0.375,0.3,0.25,0.25925925925925924,"None,Past,Present",7,2,3,0
61,0.6,0.5,0.5,0.5,0.4666666666666667,"None,Present",6,2,3,0
62,0.6,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222,"None,Past,Present",6,2,3,0
63,0.6,0.5,0.5,0.3333333333333333,0.38888888888888884,"None,Past,Present",6,2,3,0
64,0.6,0.5,0.3333333333333333,0.4166666666666667,0.3611111111111111,"None,Past,Present",6,2,3,0
65,0.5,0.375,0.43333333333333335,0.41666666666666663,0.36507936507936506,"None,Present",5,2,3,0
66,0.6,0.5,0.6666666666666666,0.3333333333333333,0.4444444444444444,"None,Past,Present",6,2,3,0
67,0.3375,0.125,0.5,0.0625,0.1111111111111111,"None,Present",6,3,3,0
68,0.6,0.5,0.25,0.5,0.3333333333333333,"None,Present",4,2,3,0
69,0.7375,0.625,0.7,0.75,0.6190476190476191,"None,Present",6,3,3,0
70,0.6,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222,"None,Past,Present",8,2,3,0
71,0.6375,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222,"None,Past,Present",8,3,3,0
72,0.9,0.875,0.6666666666666666,0.5,0.5555555555555555,"None,Past,Present",5,2,3,0
73,0.7,0.625,0.7,0.75,0.6190476190476191,"None,Present",7,2,3,0
74,0.4,0.25,0.09523809523809523,0.3333333333333333,0.14814814814814814,"None,Past,Present",6,2,3,0
75,0.7,0.625,0.7,0.75,0.6190476190476191,"None,Present",7,2,3,0
76,0.5,0.375,0.2888888888888889,0.3333333333333333,0.2857142857142857,"None,Past,Present",5,2,3,0
77,0.5,0.375,0.5,0.1875,0.2727272727272727,"None,Present",7,2,3,0
78,0.3375,0.125,0.16666666666666666,0.05555555555555555,0.08333333333333333,"None,Past,Present",5,3,3,0
79,0.7,0.625,0.6666666666666666,0.4166666666666667,0.5079365079365079,"None,Past,Present",5,2,3,0
80,0.7,0.625,0.7,0.75,0.6190476190476191,"None,Present",7,2,3,0
81,0.7,0.625,0.47222222222222215,0.4166666666666667,0.44047619047619047,"None,Past,Present",7,2,3,0
82,0.7,0.625,0.35714285714285715,0.4166666666666667,0.38461538461538464,"None,Present",7,2,3,0
83,0.775,0.75,0.5833333333333334,0.5,0.5357142857142857,",None,Present",6,2,3,0
84,0.7125,0.625,0.3333333333333333,0.20833333333333334,0.25641025641025644,",None,Present",6,3,3,0
85,0.4,0.25,0.3333333333333333,0.1111111111111111,0.16666666666666666,"None,Past,Present",6,2,3,0
86,0.55,0.375,0.15,0.125,0.13636363636363635,",None,Past,Present",6,3,3,0
87,0.9,0.875,0.9285714285714286,0.75,0.7948717948717949,"None,Present",5,2,3,0
88,0.5,0.375,0.14285714285714285,0.25,0.1818181818181818,"None,Past,Present",7,2,3,0
89,0.6,0.5,0.5,0.5,0.4666666666666667,"None,Present",6,2,3,0
90,0.5,0.375,0.16666666666666666,0.25,0.19999999999999998,"None,Past,Present",7,2,3,0
91,0.8,0.75,0.5555555555555555,0.5555555555555555,0.5333333333333333,"None,Past,Present",6,2,3,0
92,0.6,0.5,0.5,0.25,0.3333333333333333,"None,Present",6,2,3,0
93,0.4,0.25,0.19444444444444442,0.16666666666666666,0.17857142857142858,"None,Past,Present",4,2,3,0
94,0.7,0.625,0.6,0.38888888888888884,0.4646464646464647,"None,Past,Present",7,2,3,0
95,0.6,0.5,0.3666666666666667,0.3333333333333333,0.3333333333333333,"None,Past,Present",8,2,3,0
96,0.475,0.375,0.3333333333333333,0.125,0.1818181818181818,",None,Present",7,2,3,0
97,0.675,0.625,0.4375,0.3125,0.35416666666666663,",None,Past,Present",5,2,3,0
98,0.6,0.5,0.5,0.5,0.4666666666666667,"None,Present",6,2,3,0
99,0.4,0.25,0.25,0.16666666666666666,0.2,"None,Present",6,2,3,0
100,0.475,0.375,0.3055555555555555,0.27777777777777773,0.25925925925925924,",None,Present",5,2,3,0
101,0.6,0.5,0.35555555555555557,0.5,0.38095238095238093,"None,Past,Present",4,2,3,0
102,0.6,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,"None,Past,Present",6,2,3,0
103,0.5,0.375,0.5,0.1875,0.2727272727272727,"None,Present",5,2,3,0
104,0.5375,0.375,0.16666666666666666,0.25,0.19999999999999998,"None,Past,Present",7,3,3,0
105,0.4875,0.375,0.5625,0.3125,0.35,",None,Past,Present",8,3,3,0
106,0.575,0.5,0.375,0.3333333333333333,0.29166666666666663,",None,Past,Present",6,2,3,0
107,0.7,0.625,0.5833333333333334,0.4166666666666667,0.47222222222222215,"None,Past,Present",7,2,3,0
108,0.4,0.25,0.3333333333333333,0.1111111111111111,0.16666666666666666,"None,Past,Present",6,2,3,0
109,0.7,0.625,0.2380952380952381,0.2777777777777778,0.25641025641025644,"None,Past,Present",7,2,3,0
110,0.7,0.625,0.6333333333333333,0.625,0.6190476190476191,"None,Present",7,2,3,0
111,0.8,0.75,0.8333333333333334,0.8333333333333334,0.7777777777777777,"None,Past,Present",6,2,3,0
112,0.4,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,"None,Past,Present",6,2,3,0
113,0.675,0.625,0.41666666666666663,0.375,0.3666666666666667,",None,Past,Present",7,2,3,0
114,0.9,0.875,0.5,0.4375,0.4666666666666667,"None,Present",5,2,3,0
115,0.7,0.625,0.6666666666666666,0.38888888888888884,0.48888888888888893,"None,Past,Present",7,2,3,0
116,0.8,0.75,0.375,0.5,0.42857142857142855,"None,Present",6,2,3,0
117,0.6,0.5,0.5,0.25,0.3333333333333333,"None,Present",8,2,3,0
118,0.4,0.25,0.3333333333333333,0.16666666666666666,0.2222222222222222,"None,Past,Present",6,2,3,0
119,0.6,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,"None,Present",8,2,3,0
120,0.9,0.875,0.9285714285714286,0.75,0.7948717948717949,"None,Present",5,2,3,0
121,0.8375,0.75,0.5,0.375,0.42857142857142855,"None,Present",6,3,3,0
122,0.6,0.5,0.4166666666666667,0.3333333333333333,0.3611111111111111,"None,Past,Present",6,2,3,0
123,0.8375,0.75,0.75,0.8333333333333333,0.7333333333333334,"None,Present",6,3,3,0
124,0.6,0.5,0.5,0.5,0.4666666666666667,"None,Present",6,2,3,0
125,0.6,0.5,0.3666666666666667,0.4166666666666667,0.38888888888888884,"None,Past,Present",6,2,3,0
126,0.6,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,"None,Past,Present",6,2,3,0
127,0.6375,0.5,0.3611111111111111,0.3333333333333333,0.3333333333333333,"None,Past,Present",6,3,3,0
128,0.5,0.375,0.25,0.3333333333333333,0.27777777777777773,"None,Past,Present",7,2,3,0
129,0.375,0.25,0.3333333333333333,0.08333333333333333,0.13333333333333333,",None,Present",6,2,3,0
130,0.8375,0.75,0.75,0.8333333333333333,0.7333333333333334,"None,Present",6,3,3,0
131,0.5,0.375,0.2888888888888889,0.3333333333333333,0.2857142857142857,"None,Past,Present",5,2,3,0
132,1.0,1.0,1.0,1.0,1.0,"None,Present",4,1,3,0
133,0.375,0.25,0.3888888888888889,0.2222222222222222,0.17857142857142858,",None,Present",6,2,3,0
134,0.7,0.625,0.6333333333333333,0.625,0.6190476190476191,"None,Present",7,2,3,0
135,0.7375,0.625,0.7,0.75,0.6190476190476191,"None,Present",6,3,3,0
136,0.6,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,"None,Past,Present",4,2,3,0
137,0.7,0.625,0.5,0.3125,0.38461538461538464,"None,Present",5,2,3,0
138,0.6,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,"None,Present",6,2,3,0
139,0.3,0.125,0.1111111111111111,0.16666666666666666,0.13333333333333333,"None,Past,Present",5,2,3,0
140,0.3375,0.125,0.07142857142857142,0.25,0.1111111111111111,"None,Present",6,3,3,0
141,0.5,0.375,0.3333333333333333,0.125,0.1818181818181818,"None,Past,Present",5,2,3,0
142,0.7,0.625,0.35714285714285715,0.4166666666666667,0.38461538461538464,"None,Present",7,2,3,0
143,0.6,0.5,0.3611111111111111,0.3333333333333333,0.3333333333333333,"None,Past,Present",6,2,3,0
144,0.475,0.375,0.3333333333333333,0.125,0.1818181818181818,",None,Present",5,2,3,0
145,0.7,0.625,0.7857142857142857,0.625,0.5636363636363637,"None,Present",5,2,3,0
146,0.8,0.75,0.8333333333333334,0.8333333333333334,0.7777777777777777,"None,Past,Present",6,2,3,0
147,0.7,0.625,0.5,0.3125,0.38461538461538464,"None,Present",5,2,3,0
